metadata_file,stale_reference,replacement_reference,expected_mp4_exists,ffprobe_passes,classification,blocked_reason
/mnt/spirit-8tb/media/yes/models/ruth-lee/ruth-lee-after-gym-blowjob-titty-fuck-cumshot-video-leaked-480p.mp4.media-ingest-skip.json,/mnt/spirit-8tb/media/yes/models/ruth-lee/ruth-lee-after-gym-blowjob-titty-fuck-cumshot-video-leaked-480p.mkv,/mnt/spirit-8tb/media/yes/models/ruth-lee/ruth-lee-after-gym-blowjob-titty-fuck-cumshot-video-leaked-480p.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/models/haylee-love/71357paid.mp4.media-ingest.json,/mnt/spirit-8tb/media/yes/models/haylee-love/71357paid.mkv,/mnt/spirit-8tb/media/yes/models/haylee-love/71357paid.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/models/haylee-love/HxtQnxktezuQzwketwMx.mp4.media-ingest.json,/mnt/spirit-8tb/media/yes/models/haylee-love/HxtQnxktezuQzwketwMx.mkv,/mnt/spirit-8tb/media/yes/models/haylee-love/HxtQnxktezuQzwketwMx.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mp4.media-ingest.json,/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mkv,/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mp4.media-ingest.json,(7).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mp4.media-ingest.json,(28).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mp4.media-ingest.json,(5).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mp4.media-ingest.json,(1).mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/mulai/99022_720p.mp4.media-ingest.json,/mnt/spirit-8tb/media/yes/models/mulai/99022_720p.mkv,/mnt/spirit-8tb/media/yes/models/mulai/99022_720p.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/models/katianakayfree/278848_720p.mp4.media-ingest.json,/mnt/spirit-8tb/media/yes/models/katianakayfree/278848_720p.mkv,/mnt/spirit-8tb/media/yes/models/katianakayfree/278848_720p.mp4,True,True,safe exact path migration,
/mnt/spirit-8tb/media/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mp4.media-ingest.json,04419.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv.face-meta.json,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
/mnt/spirit-8tb/media/yes/models/izzy-green/Izzy Green Finger And Dildo Fuck Pussy Squirt Everywhere For Her.mp4.face-meta.json,Her.mkv,,False,False,blocked because MP4 replacement missing,mp4 missing
