index,old_mkv_path,filename,status,current_path,current_extension,current_probe_ok,old_duration,current_duration,duration_diff_seconds,preserved_path,sidecars_current,why
22,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mkv,Visit onlyshare.io for MORE (7).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mp4,.mp4,true,16.341,16.307958,0.03304200000000179,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mkv,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mp4.media-ingest.json,current canonical candidate found by normalized title
23,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mkv,Visit onlyshare.io for MORE (1).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mp4,.mp4,true,69.102,69.069,0.03300000000000125,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mkv,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mp4.media-ingest.json,current canonical candidate found by normalized title
24,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mkv,Visit onlyshare.io for MORE (5).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mp4,.mp4,true,85.494,85.460375,0.03362500000000068,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mkv,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mp4.media-ingest.json,current canonical candidate found by normalized title
25,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mkv,Visit onlyshare.io for MORE (28).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mp4,.mp4,true,24.224,24.190833,0.033166999999998836,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mkv,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mp4.media-ingest.json,current canonical candidate found by normalized title
26,/mnt/spirit-8tb/media/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mkv,Visit onlyshare.io for MORE 04419.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mp4,.mp4,true,154.354,154.320833,0.03316700000002015,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mkv,/mnt/spirit-8tb/media/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mp4.media-ingest.json,current canonical candidate found by normalized title
27,/mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mkv,ScreenRecording_05-20-2026 23-16-39_1.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mp4,.mp4,true,29.693,29.741202,0.048201999999999856,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mkv,/mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mp4.media-ingest.json,current canonical candidate found by normalized title
28,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (218).mkv,Join ✨@ofxmega on [TELEGRAM] (218).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (218).mp4,.mp4,true,70.479,70.445375,0.03362500000000068,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (218).mkv,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (218).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (218).mp4.media-ingest.json,current canonical candidate found by normalized title
29,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (283).mkv,Join ✨@ofxmega on [TELEGRAM] (283).mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (283).mp4,.mp4,true,52.533,52.5,0.03300000000000125,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (283).mkv,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (283).mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (283).mp4.media-ingest.json,current canonical candidate found by normalized title
30,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 40.mkv,Visit onlyshare.io for MORE 40.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 40.mp4,.mp4,true,1039.614,1039.580208,0.03379199999994853,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 40.mkv,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 40.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 40.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
31,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 86.mkv,Visit onlyshare.io for MORE 86.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 86.mp4,.mp4,true,702.026,701.992958,0.03304199999990942,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 86.mkv,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 86.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 86.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
32,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 130.mkv,Visit onlyshare.io for MORE 130.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 130.mp4,.mp4,true,117.484,117.450667,0.03333299999999895,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 130.mkv,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 130.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 130.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
33,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 62.mkv,Visit onlyshare.io for MORE 62.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 62.mp4,.mp4,true,864.397,864.3635,0.03350000000000364,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 62.mkv,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 62.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 62.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
34,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 79.mkv,Visit onlyshare.io for MORE 79.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 79.mp4,.mp4,true,723.923,723.889833,0.033167000000048574,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 79.mkv,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 79.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 79.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
35,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 50.mkv,Visit onlyshare.io for MORE 50.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 50.mp4,.mp4,true,967.375,967.341375,0.033625000000029104,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 50.mkv,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 50.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 50.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
36,/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mkv,564677_720p.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mp4,.mp4,true,253.879,253.878625,0.0003749999999911324,/mnt/spirit-8tb/media-originals/replaced-by-mp4-20260620-184733/yes/models/strawberrytabby/564677_720p.mkv,/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mp4.face-meta-2.json; /mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mp4.face-meta.json; /mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mp4.media-ingest-skip.json,current canonical candidate found by normalized title
37,/mnt/spirit-8tb/media/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 793.mkv,@MLHUBOF Telegram 🌌🔥 - 793.mkv,replaced by MP4,/mnt/spirit-8tb/media/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 793.mp4,.mp4,true,244.82,244.786208,0.03379200000000537,/mnt/spirit-8tb/media-originals/full-batch-replaced-by-mp4-20260620-190819/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 793.mkv,/mnt/spirit-8tb/media/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 793.mp4.media-ingest.json,current canonical candidate found by normalized title
