index,filename,title_search_found,match_count,best_match_filename,best_match_path,best_match_score,best_match_reasons
54,✨@ofxmega on [TELEGRAM] (299).mkv,true,1,✨@ofxmega on [TELEGRAM] (299).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (299).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (299); candidate contains title: ✨@ofxmega on [TELEGRAM] (299); title contains candidate: ✨@ofxmega on [TELEGRAM] (299).MP4; numeric id overlap: 299
55,✨@ofxmega on [TELEGRAM] (286).mkv,true,1,✨@ofxmega on [TELEGRAM] (286).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (286).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (286); candidate contains title: ✨@ofxmega on [TELEGRAM] (286); title contains candidate: ✨@ofxmega on [TELEGRAM] (286).MP4; numeric id overlap: 286
56,✨@ofxmega on [TELEGRAM] (295).mkv,true,1,✨@ofxmega on [TELEGRAM] (295).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (295).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (295); candidate contains title: ✨@ofxmega on [TELEGRAM] (295); title contains candidate: ✨@ofxmega on [TELEGRAM] (295).MP4; numeric id overlap: 295
57,✨@ofxmega on [TELEGRAM] (276).mkv,true,1,✨@ofxmega on [TELEGRAM] (276).MP4,D:\tempVidStorage\anrdoidBackup\✨@ofxmega on [TELEGRAM] (276).MP4,0.98,soft exact title: ✨@ofxmega on [TELEGRAM] (276); candidate contains title: ✨@ofxmega on [TELEGRAM] (276); title contains candidate: ✨@ofxmega on [TELEGRAM] (276).MP4; numeric id overlap: 276
58,556530_720p.mkv,true,20,207601_720p.mp4,D:\tempVidStorage\anrdoidBackup\207601_720p.mp4,0.75,numeric id overlap: 720
59,PlugLeakz.net - Join Telegram @PlugLeaksHub (224).mkv,true,2,PlugLeakz.net - Join Telegram @PlugLeaksHub (224).MP4,D:\tempVidStorage\anrdoidBackup\PlugLeakz.net - Join Telegram @PlugLeaksHub (224).MP4,0.98,soft exact title: PlugLeakz.net - Join Telegram @PlugLeaksHub (224); candidate contains title: PlugLeakz.net - Join Telegram @PlugLeaksHub (224); title contains candidate: PlugLeakz.net - Join Telegram @PlugLeaksHub (224).MP4; numeric id overlap: 224; word overlap 100%
60,PlugLeakz.net - Join Telegram @PlugLeaksHub (198).mkv,true,3,PlugLeakz.net - Join Telegram @PlugLeaksHub (198).MP4,D:\tempVidStorage\anrdoidBackup\PlugLeakz.net - Join Telegram @PlugLeaksHub (198).MP4,0.98,soft exact title: PlugLeakz.net - Join Telegram @PlugLeaksHub (198); candidate contains title: PlugLeakz.net - Join Telegram @PlugLeaksHub (198); title contains candidate: PlugLeakz.net - Join Telegram @PlugLeaksHub (198).MP4; numeric id overlap: 198; word overlap 100%
61,Ayucpl.mkv,true,1,Ayucpl.MP4,D:\tempVidStorage\anrdoidBackup\Ayucpl.MP4,0.98,soft exact title: Ayucpl
62,OF4LM.COM is our home__297.mkv,true,7,OF4LM.COM is our home__297.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__297.MP4,0.98,soft exact title: OF4LM.COM is our home__297; candidate contains title: OF4LM.COM is our home__297; title contains candidate: OF4LM.COM is our home__297.MP4; numeric id overlap: 297; word overlap 100%
63,OF4LM.COM is our home__282.mkv,true,7,OF4LM.COM is our home__282.MP4,D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__282.MP4,0.98,soft exact title: OF4LM.COM is our home__282; candidate contains title: OF4LM.COM is our home__282; title contains candidate: OF4LM.COM is our home__282.MP4; numeric id overlap: 282; word overlap 100%
64,JoinUs @RisqueMega 61.mkv,true,1,JoinUs @RisqueMega 61.M4V,D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 61.M4V,0.98,soft exact title: JoinUs @RisqueMega 61; candidate contains title: JoinUs @RisqueMega 61; title contains candidate: JoinUs @RisqueMega 61.M4V
65,JoinUs @RisqueMega 25.mkv,true,1,JoinUs @RisqueMega 25.MP4,D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 25.MP4,0.98,soft exact title: JoinUs @RisqueMega 25; candidate contains title: JoinUs @RisqueMega 25; title contains candidate: JoinUs @RisqueMega 25.MP4
