path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/PrematureGooner - wataa 💦 [2015007096040001536].mp4,PrematureGooner - wataa 💦 [2015007096040001536].mp4,.mp4,2676183,2026-06-21T03:11:29.823Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,SNEAKO Defends EDP445 on JiDion Stream #shorts [sFlDc4Mq1N4].webm,.webm,5189934,2026-06-21T03:11:02.282Z,no,no,yes
/mnt/spirit-8tb/media/tempTwitter/Subby Gooner - so sensitive even the fabric doesn’t gel to delay 🤭 [2021698359522938880].mp4,Subby Gooner - so sensitive even the fabric doesn’t gel to delay 🤭 [2021698359522938880].mp4,.mp4,2226938,2026-06-21T03:13:13.544Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/T!ts - 🔗 - @jazmen000  sext with your AI Girlfriend 👇 [2019196553978597376].mp4,T!ts - 🔗 - @jazmen000  sext with your AI Girlfriend 👇 [2019196553978597376].mp4,.mp4,1671027,2026-06-21T03:11:33.896Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Throne 🍑 - Spend all day rting my posts and I’ll spend all day spamming your dms... [2023316101057363968].mp4,Throne 🍑 - Spend all day rting my posts and I’ll spend all day spamming your dms... [2023316101057363968].mp4,.mp4,20888567,2026-06-21T03:11:18.933Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Woe - @valecas96 this is the exact video that put me on a watchlist ✨ [2024962721393922048].mp4,Woe - @valecas96 this is the exact video that put me on a watchlist ✨ [2024962721393922048].mp4,.mp4,10405866,2026-06-21T03:10:35.026Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/asianshf - https：⧸⧸t.co⧸gJ7Of8tw4N [2023881836913692672].mp4,asianshf - https：⧸⧸t.co⧸gJ7Of8tw4N [2023881836913692672].mp4,.mp4,2839312,2026-06-21T03:10:30.165Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/b i g - https：⧸⧸t.co⧸tidaRxcMZP [1967684556514807808].mp4,b i g - https：⧸⧸t.co⧸tidaRxcMZP [1967684556514807808].mp4,.mp4,2567682,2026-06-21T03:11:06.067Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/bookmarksList.txt,bookmarksList.txt,.txt,59740,2026-06-21T00:10:51.343Z,no,no,yes
/mnt/spirit-8tb/media/tempTwitter/ʙᴏᴏʙᴢ ᴘᴇʀꜰᴇᴄᴛ - TITTY DROP 💧 [2003262409939816448].mp4,ʙᴏᴏʙᴢ ᴘᴇʀꜰᴇᴄᴛ - TITTY DROP 💧 [2003262409939816448].mp4,.mp4,7154224,2026-06-21T03:10:40.218Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/⛧ BJ Addict ⛧ - https：⧸⧸t.co⧸mr6PszwyB9 [2004183612753670145].mp4,⛧ BJ Addict ⛧ - https：⧸⧸t.co⧸mr6PszwyB9 [2004183612753670145].mp4,.mp4,5468128,2026-06-21T03:13:05.383Z,yes,no,no
/mnt/spirit-8tb/media/tempTwitter/＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].mp4,＊~♡~Erin~♡~＊ - Hey Y’all💚 Happy Fri-high-day🙌🏻 In from work and had dinner. Now let’... [2025021051344769024].mp4,.mp4,96143748,2026-06-21T03:10:04.041Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/🐙Creature🔞 - Did you that a study from the Hamburg Research Institute in Germany o... [2023458331801911296].mp4,🐙Creature🔞 - Did you that a study from the Hamburg Research Institute in Germany o... [2023458331801911296].mp4,.mp4,1458008,2026-06-21T03:11:03.774Z,yes,no,yes
